sm_id,sm_name,sm_price,sm_ingredients,sm_img,sm_type
66,Gut Health Greek Yogurt Strawberry Blueberry,10.59,"strawberries,blueberries,greeknonfatyogurt,pearjuiceblend,appleblueberryjuiceblend,proteinblend,guthealthenhancer",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-slim-greek-yogurt-pineapple-mango.png,greens
67,Gut Health Papaya Mango Ginger,10.59,"bananas,mangoes,papayajuiceblend,whitegrapelemonjuiceblend,ginger,steviaplant-basedsweetener,guthealthenhancer",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-slim-greek-yogurt-strawberry-blueberry.png,greens
68,Immune Builder Mixed Berry,10.59,"bananas,strawberries,raspberries,blueberries,appleblueberryjuiceblend,califiafarmsalmondmilk,pearjuiceblend,immunesupportenhancer",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-take-a-break-passion-passport.png,greens
69,Immune Builder Orange,10.59,"bananas,mangoes,applepineapplejuiceblend,orangejuiceblend,immunesupportenhancer",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-wellness-immune-builder-mixed-berry.png,greens
70,Immune Builder Veggie Superfood,10.59,"spinach,kale,carrots,bananas,dates,applepineapplejuiceblend,immunesupportenhancer,electrolyteblend",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-wellness-immune-builder-20-oz-smoothie.png,greens
71,Power Meal Blueberry Raspberry,10.59,"blueberries,raspberries,applejuiceblend,almonds,gladiatorproteinvanilla,proteinblend,multivitaminenhancer",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/powermeal2.png,greens
72,Power Meal Cinnamon Banana,10.59,"dates,bananas,almonds,proteinblend,gladiatorproteinvanilla,multivitaminenhancer,cinnamon",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/Untitled-1.png,greens
73,Power Meal Spinach Pineapple,10.59,"pineapples,whitegrapelemonjuiceblend,almonds,spinach,gladiatorproteinvanilla,proteinblend,multivitaminenhancer",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/powermeal3.png,greens
74,Vegan Dark Chocolate Banana,10.59,"bananas,dates,blueberries,cocoa,sunwarriororganicplant-basedprotein",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-wellness-vegan-dark-chocolate-banana.png,greens
75,Vegan Mango Kale,10.59,"bananas,kale,mangoes,applejuiceblend,applepineapplejuiceblend,almonds,sunwarriororganicplant-basedprotein",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-wellness-vegan-mango-kale.png,greens
76,Vegan Mixed Berry,10.59,"bananas,strawberries,blueberries,appleblueberryjuiceblend,pearjuiceblend,raspberries,oatmilkbycalifiafarms,sunwarriororganicplant-basedprotein,supergrainsenhancer",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-wellness-vegan-mixed-berry.png,greens
77,Vegan Nutty Super Grain,10.59,"bananas,peanutbutter,applejuiceblend,califiafarmsalmondmilk,cocoa,sunwarriororganicplant-basedprotein,supergrainsenhancer",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-wellness-vegan-nutty-supergrain.png,greens
78,Vegan Pineapple Spinach,10.59,"bananas,pineapples,applepineapplejuiceblend,almonds,sunwarriororganicplant-basedprotein,steviaplant-basedsweetener,spinach,carrots",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-wellness-vegan-pineapple-spinach.png,greens
79,Veggie Apple Kiwi Kale,10.59,"bananas,kale,applejuiceblend,kiwiapplejuiceblend,electrolyteblend",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-wellness-veggie-apple-kiwi-kale.png,greens
80,Veggie Carrot Kale Dream,10.59,"bananas,kale,carrots,whitegrapelemonjuiceblend,applepineapplejuiceblend,proteinblend,electrolyteblend",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-wellness-veggie-carrot-kale-dream.png,greens
81,Veggie Lemon Ginger Spinach,10.59,"mangoes,pineapples,papayajuiceblend,whitegrapelemonjuiceblend,steviaplant-basedsweetener,spinach,carrots,kale,ginger",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-wellness-veggie-lemon-ginger-spinach.png,greens
82,Angel Food,10.59,"strawberries,bananas,nonfatmilk,turbinado",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-take-a-break-angel-food.png,mango
83,Berry Punch,10.59,"strawberries,blueberries,raspberries,appleblueberryjuiceblend,electrolyteblend",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-slim-angel-food.png,mango
84,Banana Boat,10.59,"bananas,turbinado,dairywheyblend,vanillafrozenyogurt",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-take-a-break-banana-berry-treat.png,mango
85,Banana Berry Treat,10.59,"bananas,strawberries,papayajuiceblend,dairywheyblend",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-take-a-break-banana-boat.png,mango
86,Angel Food Slim,10.59,"bananas,strawberries,pearjuiceblend,proteinblend,steviaplant-basedsweetener",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-take-a-break-berry-punch.png,mango
87,Lemon Twist Strawberry,10.59,"strawberries,whitegrapelemonjuiceblend,papayajuiceblend,turbinado",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-take-a-break-caribbean-way.png,mango
88,Lemon Twist Banana,10.59,"bananas,whitegrapelemonjuiceblend,papayajuiceblend,turbinado",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-take-a-break-grean-tea-tango.png,mango
89,Island Impact,10.59,"pineapples,mangoes,papayajuiceblend,applepineapplejuiceblend,proteinblend",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-slim-island-impact.png,mango
90,Green Tea Tango,10.59,"matchagreentea,dairywheyblend,turbinado,vanillafrozenyogurt",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/take-a-break-kindness-in-a-cup.png,mango
91,Caribbean Way,10.59,"bananas,strawberries,papayajuiceblend,turbinado",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-take-a-break-lemon-twist-banana.png,mango
92,Yogurt D-Lite,10.59,"nonfatmilk,turbinado,dairywheyblend,vanillafrozenyogurt",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-take-a-break-lemon-twist-strawberry.png,mango
